"SourceContinent","ExporterContinent","ConsumerContinent","year","Nutrient","Unit","Value","rec_intake_adults","rni_amount"
"Africa","Europe","PICs",2015,"Fattyacids","g",68091.9032779043,1.4,48637.0737699317
"Africa","Europe","PICs",2015,"Calcium","mg",2378142.80116074,1300,1829.34061627749
"Africa","Europe","PICs",2015,"Zinc","mg",37456.474787005,11,3405.13407154591
"Africa","Europe","PICs",2015,"Iron","mg",62892.1912176089,18,3494.0106232005
"Africa","Europe","PICs",2015,"Vitamina","mcg",1192550.92069799,900,1325.05657855332
"Africa","Europe","PICs",2015,"Vitaminb12","mcg",411562.906606331,2.4,171484.544419305
"Africa","Europe","PICs",2017,"Protein","g",821984.991504757,50,16439.6998300951
"Africa","Europe","PICs",2017,"Fattyacids","g",76672.9333742493,1.4,54766.3809816066
"Africa","Europe","PICs",2017,"Calcium","mg",2696567.43046422,1300,2074.28263881863
"Africa","Europe","PICs",2017,"Zinc","mg",41099.2495752379,11,3736.29541593072
"Africa","Europe","PICs",2017,"Iron","mg",68498.7492920631,18,3805.48607178128
"Africa","Europe","PICs",2017,"Vitamina","mcg",1324309.15297989,900,1471.4546144221
"Africa","Europe","PICs",2017,"Vitaminb12","mcg",456658.328613754,2.4,190274.303589064
"Africa","Europe","PICs",2018,"Protein","g",568667.8954413,50,11373.357908826
"Africa","Europe","PICs",2018,"Fattyacids","g",39039.6264673605,1.4,27885.447476686
"Africa","Europe","PICs",2018,"Calcium","mg",1248721.36620106,1300,960.554897077736
"Africa","Europe","PICs",2018,"Zinc","mg",25544.5910414417,11,2322.23554922197
"Africa","Europe","PICs",2018,"Iron","mg",46151.6189973413,18,2563.97883318563
"Africa","Europe","PICs",2018,"Vitamina","mcg",712750.714238058,900,791.945238042287
"Africa","Europe","PICs",2018,"Vitaminb12","mcg",267823.176055254,2.4,111592.990023022
"Africa","Europe","PICs",2020,"Protein","g",1766848.81222162,50,35336.9762444323
"Africa","Europe","PICs",2020,"Fattyacids","g",45891.7711548293,1.4,32779.8365391638
