"category","Nutrient_fulfillment"
"calcium",-0.000400618503510802
"fattyacids",-0.0922592090170596
"iron",-0.0224828554754952
"protein",-0.0950665503733242
"vita",-0.00293501399695557
"vitaminb12",-0.700715982262445
"zinc",-0.0159708764087259
