"Country","Pop_avg","Source","category","net_flow_value","net_flow_value_daily","rec_intake_adults","unit","net_flow_rnis_total","rni_perc_pop_total","net_flow_rnis_daily","rni_perc_pop_daily"
"SVN",2068252.11764706,"Net","fattyacids",1992814595.50134,389754.468120739,1.4,"g",1423438996.78667,688.232824538839,278396.048657671,0.134604503136874
"SVN",2068252.11764706,"Net","calcium",80402270681.6696,15725067.6083844,1300,"mg",61847900.5243612,29.9034629272965,12096.2058526034,0.00584851612112194
"SVN",2068252.11764706,"Net","zinc",2382962298.48446,466059.514665453,11,"mg",216632936.22586,104.742035256472,42369.0467877685,0.0204854361933252
"SVN",2068252.11764706,"Net","iron",2946632131.26974,576302.001030656,18,"mg",163701785.070541,79.1498210850504,32016.7778350364,0.0154801136485528
"SVN",2068252.11764706,"Net","vitamina",54707558414.3387,10699698.4968392,900,"mcg",60786176.0159319,29.3901190755628,11888.5538853769,0.00574811638481572
"SVN",2068252.11764706,"Net","vitaminb12",11257934523.3148,2201825.64508406,2.4,"mcg",4690806051.38117,2268.00495517812,917427.352118359,0.443576169602605
"SWE",9843314.23529412,"Net","protein",-69996183327.9909,-13689846.1427715,50,"g",-1399923666.55982,-142.220763565615,-273796.922855431,-0.0278155219177812
"SWE",9843314.23529412,"Net","fattyacids",-27064326353.148,-5293238.08980012,1.4,"g",-19331661680.82,-1963.93828528856,-3780884.34985723,-0.384106842419042
"SWE",9843314.23529412,"Net","calcium",-348624074316.476,-68183859.6355321,1300,"mg",-268172364.858827,-27.2441129530611,-52449.1227965631,-0.0053284007340233
"SWE",9843314.23529412,"Net","zinc",-1880594672.68771,-367806.507468747,11,"mg",-170963152.062519,-17.3684541584088,-33436.9552244316,-0.00339692042996456
"SWE",9843314.23529412,"Net","iron",-6161309153.27946,-1205028.19348317,18,"mg",-342294952.95997,-34.7743600151095,-66946.0107490652,-0.00680116565912567
"SWE",9843314.23529412,"Net","vitamina",-1213781090802.8,-237391177.547976,900,"mcg",-1348645656.44755,-137.011338275869,-263767.975053306,-0.0267966630697963
"SWE",9843314.23529412,"Net","vitaminb12",-104544184223.44,-20446740.5091805,2.4,"mcg",-43560076759.7665,-4425.34655691249,-8519475.21215853,-0.865508812226186
"SWZ",1139587.76470588,"Net","protein",0,0,50,"g",0,0,0,0
"SWZ",1139587.76470588,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"SWZ",1139587.76470588,"Net","calcium",0,0,1300,"mg",0,0,0,0
"SWZ",1139587.76470588,"Net","zinc",0,0,11,"mg",0,0,0,0
"SWZ",1139587.76470588,"Net","iron",0,0,18,"mg",0,0,0,0
"SWZ",1139587.76470588,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"SWZ",1139587.76470588,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"SYC",95400.3529411765,"Net","protein",-155686839938.147,-30449215.7125263,50,"g",-3113736798.76294,-32638.6297614943,-608984.314250526,-6.38345976168478
"SYC",95400.3529411765,"Net","fattyacids",-3321559799.40936,-649630.314768112,1.4,"g",-2372542713.86383,-24869.3284743582,-464021.653405794,-4.86394063648704
"SYC",95400.3529411765,"Net","calcium",-121303934747.599,-23724610.7466456,1300,"mg",-93310719.0366148,-978.096161700259,-18249.7005743428,-0.191295944005527
"SYC",95400.3529411765,"Net","zinc",-4784391804.54131,-935730.843837534,11,"mg",-434944709.503756,-4559.15199571579,-85066.4403488667,-0.891678465815723
"SYC",95400.3529411765,"Net","iron",-10366447901.7795,-2027468.78579689,18,"mg",-575913772.321084,-6036.80966124089,-112637.154766494,-1.18067859597905
"SYC",95400.3529411765,"Net","vitamina",-97655357347.6561,-19099424.4763654,900,"mcg",-108505952.608507,-1137.37475033673,-21221.5827515171,-0.222447633549136
"SYC",95400.3529411765,"Net","vitaminb12",-40846215729.0297,-7988698.55838641,2.4,"mcg",-17019256553.7624,-178398.255656941,-3328624.39932767,-34.891112000184
"SYR",21016467.7647059,"Net","protein",45329592708.5246,8865556.95453248,50,"g",906591854.170492,43.1372133662243,177311.13909065,0.00843677163430946
"SYR",21016467.7647059,"Net","fattyacids",2831389301.58272,553762.820571625,1.4,"g",2022420929.70194,96.2302967532111,395544.871836875,0.0188207112758089
"SYR",21016467.7647059,"Net","calcium",127183622868.199,24874559.5283003,1300,"mg",97833556.0524611,4.65509033905109,19134.276560231,0.000910442076872891
"SYR",21016467.7647059,"Net","zinc",2034408639.49079,397889.426851318,11,"mg",184946239.953708,8.80006298034052,36171.7660773926,0.00172111538829269
"SYR",21016467.7647059,"Net","iron",3195545430.13128,624984.43773348,18,"mg",177530301.67396,8.44719977027237,34721.35765186,0.00165210243893455
