"Country","Pop_avg","Source","category","net_flow_value","net_flow_value_daily","rec_intake_adults","unit","net_flow_rnis_total","rni_perc_pop_total","net_flow_rnis_daily","rni_perc_pop_daily"
"SRB",7070015.11764706,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"SRB",7070015.11764706,"Net","calcium",0,0,1300,"mg",0,0,0,0
"SRB",7070015.11764706,"Net","zinc",0,0,11,"mg",0,0,0,0
"SRB",7070015.11764706,"Net","iron",0,0,18,"mg",0,0,0,0
"SRB",7070015.11764706,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"SRB",7070015.11764706,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"SSD",10386318.2352941,"Net","protein",0,0,50,"g",0,0,0,0
"SSD",10386318.2352941,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"SSD",10386318.2352941,"Net","calcium",0,0,1300,"mg",0,0,0,0
"SSD",10386318.2352941,"Net","zinc",0,0,11,"mg",0,0,0,0
"SSD",10386318.2352941,"Net","iron",0,0,18,"mg",0,0,0,0
"SSD",10386318.2352941,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"SSD",10386318.2352941,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"STP",200709.176470588,"Net","protein",0,0,50,"g",0,0,0,0
"STP",200709.176470588,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"STP",200709.176470588,"Net","calcium",0,0,1300,"mg",0,0,0,0
"STP",200709.176470588,"Net","zinc",0,0,11,"mg",0,0,0,0
"STP",200709.176470588,"Net","iron",0,0,18,"mg",0,0,0,0
"STP",200709.176470588,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"STP",200709.176470588,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"SUR",575980.352941177,"Net","protein",-36284296.1965968,-7096.47881803183,50,"g",-725685.923931935,-1.25991437073557,-141.929576360637,-0.000246413919564947
"SUR",575980.352941177,"Net","fattyacids",-655799.906287512,-128.261276410622,1.4,"g",-468428.50449108,-0.813271671679606,-91.6151974361589,-0.00015905958765492
"SUR",575980.352941177,"Net","calcium",-53227083.8784336,-10410.1474434644,1300,"mg",-40943.9106757182,-0.0710856029492028,-8.00780572574187,-1.39029147172311e-05
"SUR",575980.352941177,"Net","zinc",-968236.561170895,-189.367604375297,11,"mg",-88021.5055609904,-0.152820326442593,-17.2152367613907,-2.98885833058073e-05
"SUR",575980.352941177,"Net","iron",-517730.018956427,-101.257582428403,18,"mg",-28762.7788309126,-0.0499370832425773,-5.62542124602241,-9.76668946657096e-06
"SUR",575980.352941177,"Net","vitamina",-33688059.026581,-6588.70702651691,900,"mcg",-37431.1766962011,-0.0649868984333635,-7.32078558501879,-1.27101307321266e-05
"SUR",575980.352941177,"Net","vitaminb12",-1212170.76331895,-237.076229868755,2.4,"mcg",-505071.151382894,-0.876889548061504,-98.7817624453147,-0.000171501965198808
