"category","Nutrient_fulfillment"
"calcium",-0.00121729455339
"fattyacids",-0.288941950213468
"iron",-0.0356721271790173
"protein",-0.225544656324703
"vitamina",-0.0125093788128876
"vitaminb12",-1.41692788011283
"zinc",-0.0335194874384626
