"SourceContinent","ExporterContinent","ConsumerContinent","Nutrient","Unit","Value"
"Americas","Oceania","PICs","Calcium","mg",2080462856.40926
"Americas","Oceania","PICs","Zinc","mg",36853703.8617425
"Americas","Oceania","PICs","Iron","mg",61105016.8357422
"Americas","Oceania","PICs","Vitamina","mcg",1289789662.50427
"Americas","Oceania","PICs","Vitaminb12","mcg",448208657.494302
"Americas","PICs","Africa","Protein","g",42819452.7259608
"Americas","PICs","Africa","Fattyacids","g",1465094.2403567
"Americas","PICs","Africa","Calcium","mg",71633770.1392971
"Americas","PICs","Africa","Zinc","mg",1487393.99256204
"Americas","PICs","Africa","Iron","mg",1891268.58620625
"Americas","PICs","Africa","Vitamina","mcg",46230615.4202761
"Americas","PICs","Africa","Vitaminb12","mcg",12988841.5239716
"Americas","PICs","Americas","Protein","g",438821204.445882
"Americas","PICs","Americas","Fattyacids","g",24173701.0305922
"Americas","PICs","Americas","Calcium","mg",683816691.838621
"Americas","PICs","Americas","Zinc","mg",18689930.7396699
"Americas","PICs","Americas","Iron","mg",34701773.501678
"Americas","PICs","Americas","Vitamina","mcg",585149732.000448
"Americas","PICs","Americas","Vitaminb12","mcg",176823585.948747
"Americas","PICs","Asia","Protein","g",1101188646.89919
"Americas","PICs","Asia","Fattyacids","g",92102271.822259
"Americas","PICs","Asia","Calcium","mg",3327614811.56637
"Americas","PICs","Asia","Zinc","mg",59656073.4084005
"Americas","PICs","Asia","Iron","mg",101247803.439324
"Americas","PICs","Asia","Vitamina","mcg",2154350141.76419
"Americas","PICs","Asia","Vitaminb12","mcg",719178857.94411
"Americas","PICs","Europe","Protein","g",591702296.205699
"Americas","PICs","Europe","Fattyacids","g",22257201.039589
"Americas","PICs","Europe","Calcium","mg",582982228.319072
"Americas","PICs","Europe","Zinc","mg",23206399.0224479
"Americas","PICs","Europe","Iron","mg",44336740.6476538
"Americas","PICs","Europe","Vitamina","mcg",482141028.602307
"Americas","PICs","Europe","Vitaminb12","mcg",222602350.047672
"Americas","PICs","Oceania","Protein","g",28270048.0303407
"Americas","PICs","Oceania","Fattyacids","g",2612117.96351495
"Americas","PICs","Oceania","Calcium","mg",45771006.5982521
"Americas","PICs","Oceania","Zinc","mg",1349903.51719461
"Americas","PICs","Oceania","Iron","mg",2107429.23498186
"Americas","PICs","Oceania","Vitamina","mcg",43367490.9664758
"Americas","PICs","Oceania","Vitaminb12","mcg",14463596.0292349
"Americas","PICs","PICs","Protein","g",81208606.5538555
"Americas","PICs","PICs","Fattyacids","g",10808972.3718706
"Americas","PICs","PICs","Calcium","mg",62314818.9495728
"Americas","PICs","PICs","Zinc","mg",4231345.03493676
"Americas","PICs","PICs","Iron","mg",5972739.5091003
