"SourceContinent","ExporterContinent","ConsumerContinent","year","Nutrient","Unit","Value"
"Africa","Africa","PICs",2020,"Iron","mg",8615709.94302783
"Africa","Africa","PICs",2020,"Vitamina","mcg",170622264.479986
"Africa","Africa","PICs",2020,"Vitaminb12","mcg",59027852.7918905
"Africa","Americas","PICs",2007,"Protein","g",11802968.7396993
"Africa","Americas","PICs",2007,"Fattyacids","g",1101227.6366571
"Africa","Americas","PICs",2007,"Calcium","mg",38930990.0595248
"Africa","Americas","PICs",2007,"Zinc","mg",595901.705931271
"Africa","Americas","PICs",2007,"Iron","mg",994360.795988785
"Africa","Americas","PICs",2007,"Vitamina","mcg",19303268.8083134
"Africa","Americas","PICs",2007,"Vitaminb12","mcg",6658626.03350271
"Africa","Americas","PICs",2008,"Protein","g",2419964.01184582
"Africa","Americas","PICs",2008,"Fattyacids","g",144723.266140906
"Africa","Americas","PICs",2008,"Calcium","mg",5586391.70404021
"Africa","Americas","PICs",2008,"Zinc","mg",160247.668409539
"Africa","Americas","PICs",2008,"Iron","mg",255883.922773419
"Africa","Americas","PICs",2008,"Vitamina","mcg",3596692.94912581
"Africa","Americas","PICs",2008,"Vitaminb12","mcg",1426763.46472787
"Africa","Americas","PICs",2009,"Protein","g",1064521.73887472
"Africa","Americas","PICs",2009,"Fattyacids","g",44424.0995561595
"Africa","Americas","PICs",2009,"Calcium","mg",1904135.67051598
"Africa","Americas","PICs",2009,"Zinc","mg",59279.9373431738
"Africa","Americas","PICs",2009,"Iron","mg",80919.174076458
"Africa","Americas","PICs",2009,"Vitamina","mcg",1383880.96609318
"Africa","Americas","PICs",2009,"Vitaminb12","mcg",387077.226510873
"Africa","Americas","PICs",2010,"Protein","g",6187938.84385511
"Africa","Americas","PICs",2010,"Fattyacids","g",558376.496599896
"Africa","Americas","PICs",2010,"Calcium","mg",21635297.887597
"Africa","Americas","PICs",2010,"Zinc","mg",356491.493404018
"Africa","Americas","PICs",2010,"Iron","mg",557198.179694001
"Africa","Americas","PICs",2010,"Vitamina","mcg",9813585.94405427
"Africa","Americas","PICs",2010,"Vitaminb12","mcg",3551893.70964924
"Africa","Americas","PICs",2011,"Protein","g",5240998.40060113
"Africa","Americas","PICs",2011,"Fattyacids","g",483258.675889651
"Africa","Americas","PICs",2011,"Calcium","mg",19781589.7792528
"Africa","Americas","PICs",2011,"Zinc","mg",326184.418628044
"Africa","Americas","PICs",2011,"Iron","mg",554374.656382558
"Africa","Americas","PICs",2011,"Vitamina","mcg",11721725.0743424
"Africa","Americas","PICs",2011,"Vitaminb12","mcg",4072424.54562352
"Africa","Americas","PICs",2012,"Protein","g",2928830.69459976
"Africa","Americas","PICs",2012,"Fattyacids","g",275374.226910552
"Africa","Americas","PICs",2012,"Calcium","mg",11140854.4171987
"Africa","Americas","PICs",2012,"Zinc","mg",175281.866577014
"Africa","Americas","PICs",2012,"Iron","mg",290484.824918046
"Africa","Americas","PICs",2012,"Vitamina","mcg",5821327.48974906
"Africa","Americas","PICs",2012,"Vitaminb12","mcg",2055384.38993079
"Africa","Americas","PICs",2013,"Protein","g",690819.248034545
"Africa","Americas","PICs",2013,"Fattyacids","g",46908.8811502826
"Africa","Americas","PICs",2013,"Calcium","mg",3713629.61831116
"Africa","Americas","PICs",2013,"Zinc","mg",29710.5269784332
"Africa","Americas","PICs",2013,"Iron","mg",49064.819757579
"Africa","Americas","PICs",2013,"Vitamina","mcg",1012839.2883643
"Africa","Americas","PICs",2013,"Vitaminb12","mcg",266169.564689708
"Africa","Americas","PICs",2014,"Protein","g",1386979.69964493
"Africa","Americas","PICs",2014,"Fattyacids","g",77501.3083628043
"Africa","Americas","PICs",2014,"Calcium","mg",2666401.058027
"Africa","Americas","PICs",2014,"Zinc","mg",49580.2904337899
"Africa","Americas","PICs",2014,"Iron","mg",98079.0473548347
"Africa","Americas","PICs",2014,"Vitamina","mcg",1364506.8941113
"Africa","Americas","PICs",2014,"Vitaminb12","mcg",533634.593956043
"Africa","Americas","PICs",2015,"Protein","g",4261884.39819678
"Africa","Americas","PICs",2015,"Fattyacids","g",382752.890059857
"Africa","Americas","PICs",2015,"Calcium","mg",14630727.6519862
"Africa","Americas","PICs",2015,"Zinc","mg",223923.346249678
"Africa","Americas","PICs",2015,"Iron","mg",360914.06373931
"Africa","Americas","PICs",2015,"Vitamina","mcg",6375387.99975472
"Africa","Americas","PICs",2015,"Vitaminb12","mcg",2313262.41984864
"Africa","Americas","PICs",2016,"Protein","g",4918887.3611768
"Africa","Americas","PICs",2016,"Fattyacids","g",429135.683821482
"Africa","Americas","PICs",2016,"Calcium","mg",14953856.6251414
"Africa","Americas","PICs",2016,"Zinc","mg",286009.52551674
"Africa","Americas","PICs",2016,"Iron","mg",409772.506022705
"Africa","Americas","PICs",2016,"Vitamina","mcg",7518584.72114471
"Africa","Americas","PICs",2016,"Vitaminb12","mcg",2690926.20797406
"Africa","Americas","PICs",2017,"Protein","g",10688127.527535
"Africa","Americas","PICs",2017,"Fattyacids","g",898200.929320208
"Africa","Americas","PICs",2017,"Calcium","mg",33252362.5129355
"Africa","Americas","PICs",2017,"Zinc","mg",555668.650004883
"Africa","Americas","PICs",2017,"Iron","mg",913401.630622143
"Africa","Americas","PICs",2017,"Vitamina","mcg",15861200.9495989
"Africa","Americas","PICs",2017,"Vitaminb12","mcg",5755818.26409214
"Africa","Americas","PICs",2018,"Protein","g",4045645.81932253
"Africa","Americas","PICs",2018,"Fattyacids","g",324856.41201252
"Africa","Americas","PICs",2018,"Calcium","mg",10988729.2639337
"Africa","Americas","PICs",2018,"Zinc","mg",188780.649073141
"Africa","Americas","PICs",2018,"Iron","mg",334400.719736458
"Africa","Americas","PICs",2018,"Vitamina","mcg",5612326.86230145
"Africa","Americas","PICs",2018,"Vitaminb12","mcg",2069905.9503517
"Africa","Americas","PICs",2019,"Protein","g",5791893.21328527
"Africa","Americas","PICs",2019,"Fattyacids","g",537118.920081848
"Africa","Americas","PICs",2019,"Calcium","mg",19146163.0743607
"Africa","Americas","PICs",2019,"Zinc","mg",292113.33071953
"Africa","Americas","PICs",2019,"Iron","mg",484142.473772969
"Africa","Americas","PICs",2019,"Vitamina","mcg",9207398.25076951
"Africa","Americas","PICs",2019,"Vitaminb12","mcg",3203012.63422715
"Africa","Americas","PICs",2020,"Protein","g",1542367.27941961
"Africa","Americas","PICs",2020,"Fattyacids","g",143868.592341418
"Africa","Americas","PICs",2020,"Calcium","mg",5059821.54720713
"Africa","Americas","PICs",2020,"Zinc","mg",77118.3639709808
"Africa","Americas","PICs",2020,"Iron","mg",128530.606618301
"Africa","Americas","PICs",2020,"Vitamina","mcg",2484925.06128716
"Africa","Americas","PICs",2020,"Vitaminb12","mcg",856870.710788675
"Africa","Asia","PICs",2007,"Protein","g",5987717.23398595
"Africa","Asia","PICs",2007,"Fattyacids","g",310068.466439799
"Africa","Asia","PICs",2007,"Calcium","mg",7590813.70722553
"Africa","Asia","PICs",2007,"Zinc","mg",289322.436812137
"Africa","Asia","PICs",2007,"Iron","mg",531103.994359736
"Africa","Asia","PICs",2007,"Vitamina","mcg",5543283.74773801
"Africa","Asia","PICs",2007,"Vitaminb12","mcg",2738581.02890854
"Africa","Asia","PICs",2008,"Protein","g",44363969.6474853
"Africa","Asia","PICs",2008,"Fattyacids","g",4135883.78687172
"Africa","Asia","PICs",2008,"Calcium","mg",167706653.216781
"Africa","Asia","PICs",2008,"Zinc","mg",2815567.20881637
"Africa","Asia","PICs",2008,"Iron","mg",4879523.11426678
"Africa","Asia","PICs",2008,"Vitamina","mcg",103494541.678265
"Africa","Asia","PICs",2008,"Vitaminb12","mcg",36182111.5905864
"Africa","Asia","PICs",2009,"Protein","g",72446668.7010166
"Africa","Asia","PICs",2009,"Fattyacids","g",5794843.60275585
"Africa","Asia","PICs",2009,"Calcium","mg",246057080.407652
"Africa","Asia","PICs",2009,"Zinc","mg",4090614.78864862
"Africa","Asia","PICs",2009,"Iron","mg",6882567.75430282
"Africa","Asia","PICs",2009,"Vitamina","mcg",144597065.977094
